DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,MARITAL_STATUS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_MARITAL_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,TOTAL,99,2025,2585,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,TOTAL,99,2026,2584,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y_GE100,99,2025,1,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y_GE100,99,2026,0,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y0,99,2025,18,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y0,99,2026,18,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y1,99,2025,13,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y1,99,2026,20,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y10,99,2025,20,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y10,99,2026,26,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y11,99,2025,27,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y11,99,2026,20,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y12,99,2025,23,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y12,99,2026,26,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y13,99,2025,14,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y13,99,2026,22,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y14,99,2025,23,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y14,99,2026,13,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y15,99,2025,20,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y15,99,2026,22,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y16,99,2025,26,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y16,99,2026,19,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y17,99,2025,25,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y17,99,2026,26,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y18,99,2025,15,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y18,99,2026,26,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y19,99,2025,26,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y19,99,2026,16,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y2,99,2025,12,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y2,99,2026,12,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y20,99,2025,19,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y20,99,2026,32,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y21,99,2025,29,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y21,99,2026,19,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y22,99,2025,27,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y22,99,2026,29,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y23,99,2025,22,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y23,99,2026,26,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y24,99,2025,19,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y24,99,2026,23,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y25,99,2025,20,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y25,99,2026,22,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y26,99,2025,24,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y26,99,2026,24,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y27,99,2025,23,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y27,99,2026,26,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y28,99,2025,23,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y28,99,2026,19,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y29,99,2025,25,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y29,99,2026,22,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y3,99,2025,24,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y3,99,2026,11,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y30,99,2025,34,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y30,99,2026,27,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y31,99,2025,28,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y31,99,2026,34,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y32,99,2025,27,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y32,99,2026,27,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y33,99,2025,29,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y33,99,2026,29,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y34,99,2025,31,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y34,99,2026,30,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y35,99,2025,29,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y35,99,2026,32,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y36,99,2025,28,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y36,99,2026,30,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y37,99,2025,23,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y37,99,2026,30,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y38,99,2025,23,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y38,99,2026,24,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y39,99,2025,15,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y39,99,2026,19,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y4,99,2025,21,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y4,99,2026,25,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y40,99,2025,30,,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y40,99,2026,16,e,,FILTER__ITC1,,,,,,,
IT1:22_289_DF_DCIS_POPRES1_24(1.0),A,001001,JAN,9,Y41,99,2025,30,,,FILTER__ITC1,,,,,,,
