PRO_COM_T,COD_PROV,popolazione,pendolari_in_entrata,pendolari_in_uscita,pendolari_interni,bilancio_pendolari,bilancio_per_1000
001001,001,2584,479,709,214,-230,-89
001002,001,3698,2013,1086,260,927,251
001003,001,468,21,86,69,-65,-139
001004,001,1633,113,500,72,-387,-237
001006,001,6231,1430,1749,606,-319,-51
001007,001,235,0,57,10,-57,-243
001008,001,16513,2890,4584,1070,-1694,-103
001009,001,1979,1119,528,186,591,299
001010,001,468,16,130,24,-114,-244
001011,001,794,21,202,48,-181,-228
001012,001,1076,189,330,83,-141,-131
001013,001,12035,4560,3327,1130,1233,102
001014,001,1224,419,345,98,74,60
001015,001,778,418,216,44,202,260
001016,001,3095,506,864,202,-358,-116
001017,001,493,198,138,22,60,122
001018,001,3692,183,1187,155,-1004,-272
001019,001,97,19,17,19,2,21
001020,001,3097,498,984,121,-486,-157
001021,001,1563,141,435,81,-294,-188
001022,001,2853,336,359,681,-23,-8
001023,001,525,249,158,22,91,173
001024,001,17272,4974,4919,1183,55,3
001025,001,3362,292,961,200,-669,-199
001026,001,527,29,131,43,-102,-194
001027,001,2099,462,550,152,-88,-42
001028,001,11523,3405,3731,772,-326,-28
001029,001,587,68,176,19,-108,-184
001030,001,3424,230,999,186,-769,-225
001031,001,770,36,175,33,-139,-181
001032,001,2250,502,556,117,-54,-24
001033,001,3044,818,842,224,-24,-8
001034,001,8772,1750,2694,611,-944,-108
001035,001,4611,904,1369,324,-465,-101
001036,001,387,4,115,16,-111,-287
001037,001,423,37,139,16,-102,-241
001038,001,8364,2038,2601,533,-563,-67
001039,001,1495,216,384,72,-168,-112
001040,001,1513,579,438,95,141,93
001041,001,1289,348,362,97,-14,-11
001042,001,1095,979,285,63,694,634
001043,001,1578,1405,479,155,926,587
001044,001,5766,617,1446,381,-829,-144
001045,001,6222,1291,1905,360,-614,-99
001046,001,3388,515,978,241,-463,-137
001047,001,7338,1284,1715,759,-431,-59
001048,001,5884,1682,1640,480,42,7
001049,001,1297,781,338,137,443,342
001050,001,1143,234,350,65,-116,-101
001051,001,5563,1636,1850,297,-214,-38
001052,001,269,2,80,10,-78,-290
001053,001,2581,106,824,125,-718,-278
001054,001,645,18,124,63,-106,-164
001055,001,2014,253,659,76,-406,-202
001056,001,891,133,258,43,-125,-140
001057,001,697,112,193,41,-81,-116
001058,001,9250,1051,2289,946,-1238,-134
001059,001,27971,4208,5450,4905,-1242,-44
001060,001,1865,125,485,121,-360,-193
001061,001,1503,220,444,56,-224,-149
001062,001,3024,953,913,191,40,13
001063,001,13738,4624,4239,1136,385,28
001064,001,1748,147,575,77,-428,-245
001065,001,2168,161,656,138,-495,-228
001066,001,9839,1479,2412,1030,-933,-95
001067,001,417,3,109,13,-106,-254
001068,001,6519,838,2107,384,-1269,-195
001069,001,2357,182,658,102,-476,-202
001070,001,5373,757,1297,647,-540,-101
001071,001,1760,160,483,112,-323,-184
001072,001,957,91,213,77,-122,-127
001073,001,139,18,27,30,-9,-65
001074,001,887,205,97,187,108,122
001075,001,336,16,53,31,-37,-110
001076,001,1494,150,437,53,-287,-192
001077,001,1958,109,529,80,-420,-215
001078,001,35822,5404,7823,5015,-2419,-68
001079,001,229,2,62,8,-60,-262
001080,001,838,71,169,55,-98,-117
001081,001,1524,412,458,81,-46,-30
001082,001,26038,6608,6248,3425,360,14
001083,001,358,12,127,10,-115,-321
001084,001,225,8,72,5,-64,-284
001085,001,340,1,98,15,-97,-285
001086,001,18083,5387,4272,2272,1115,62
001087,001,199,40,18,36,22,111
001088,001,1460,14,444,68,-430,-295
001089,001,3371,86,929,178,-843,-250
001090,001,47590,13803,14528,3241,-725,-15
001091,001,354,15,86,16,-71,-201
001092,001,576,667,178,18,489,849
001093,001,4422,421,1208,298,-787,-178
001094,001,3106,267,855,199,-588,-189
001095,001,410,15,104,17,-89,-217
001096,001,917,139,307,40,-168,-183
001097,001,7814,752,2109,618,-1357,-174
001098,001,9483,1738,2172,1005,-434,-46
001099,001,8942,1407,2716,671,-1309,-146
001100,001,241,16,71,10,-55,-228
001101,001,4962,722,1524,332,-802,-162
001102,001,2151,384,625,117,-241,-112
001103,001,466,20,97,48,-77,-165
001104,001,2638,286,803,123,-517,-196
001105,001,725,23,210,28,-187,-258
001106,001,2278,213,661,116,-448,-197
001107,001,3152,495,673,374,-178,-56
001108,001,272,5,54,33,-49,-180
001109,001,1590,318,491,77,-173,-109
001110,001,2846,646,805,155,-159,-56
001111,001,564,157,155,23,2,4
001112,001,9208,590,2806,534,-2216,-241
001113,001,1131,154,287,64,-133,-118
001114,001,585,21,205,17,-184,-315
001115,001,16361,1129,3511,1911,-2382,-146
001116,001,4060,287,1415,166,-1128,-278
001117,001,684,9,194,18,-185,-270
001118,001,183,8,32,19,-24,-131
001119,001,1004,400,297,57,103,103
001120,001,36410,14229,10702,2430,3527,97
001121,001,44,0,8,0,-8,-182
001122,001,677,66,217,26,-151,-223
001123,001,355,31,118,15,-87,-245
001124,001,434,25,116,13,-91,-210
001125,001,22544,8626,3438,4077,5188,230
001126,001,1719,196,577,69,-381,-222
001127,001,8673,1581,2930,546,-1349,-156
001128,001,5038,1029,1118,544,-89,-18
001129,001,1356,1280,387,92,893,659
001130,001,16339,5803,4502,1638,1301,80
001131,001,153,0,35,9,-35,-229
001132,001,1748,296,516,115,-220,-126
001133,001,476,122,136,23,-14,-29
001134,001,1280,51,265,143,-214,-167
001135,001,1735,733,536,82,197,114
001136,001,1090,129,327,75,-198,-182
001137,001,1204,175,371,51,-196,-163
001139,001,7118,1845,1414,805,431,61
001140,001,505,23,158,16,-135,-267
001141,001,554,323,172,31,151,273
001142,001,1180,118,325,68,-207,-175
001143,001,409,23,119,15,-96,-235
001144,001,1269,41,391,39,-350,-276
001145,001,56,3,11,3,-8,-143
001146,001,3674,1253,982,344,271,74
001147,001,679,24,201,23,-177,-261
001148,001,4298,301,1213,254,-912,-212
001149,001,787,21,212,26,-191,-243
001150,001,1355,269,381,74,-112,-83
001152,001,735,11,182,35,-171,-233
001153,001,399,16,135,8,-119,-298
001154,001,612,39,200,16,-161,-263
001155,001,403,0,83,12,-83,-206
001156,001,55442,14508,14625,5161,-117,-2
001157,001,44,0,9,3,-9,-205
001158,001,709,91,219,28,-128,-181
001159,001,966,76,279,46,-203,-210
001160,001,3307,288,956,180,-668,-202
001161,001,4974,334,1328,364,-994,-200
001162,001,824,55,251,34,-196,-238
001163,001,823,40,241,41,-201,-244
001164,001,45680,6601,12890,3391,-6289,-138
001165,001,97,0,17,11,-17,-175
001166,001,6660,566,2166,350,-1600,-240
001167,001,275,0,70,11,-70,-255
001168,001,7641,1589,2125,661,-536,-70
001169,001,525,16,158,25,-142,-270
001170,001,1419,250,468,81,-218,-154
001171,001,22779,8905,6213,2014,2692,118
001172,001,730,33,205,38,-172,-236
001173,001,1161,287,376,47,-89,-77
001174,001,896,121,295,52,-174,-194
001175,001,3295,363,624,541,-261,-79
001176,001,1164,575,368,76,207,178
001177,001,834,39,258,32,-219,-263
001178,001,1945,325,464,190,-139,-71
001179,001,394,308,127,13,181,459
001180,001,1165,21,378,48,-357,-306
001181,001,3628,737,1038,199,-301,-83
001183,001,4007,428,1136,210,-708,-177
001184,001,3138,329,728,190,-399,-127
001185,001,492,20,165,18,-145,-295
001186,001,547,26,131,21,-105,-192
001187,001,744,106,225,37,-119,-160
001188,001,612,90,159,32,-69,-113
001189,001,15657,4876,4710,1163,166,11
001190,001,2756,286,832,153,-546,-198
001191,001,35436,6479,6446,5728,33,1
001192,001,8336,561,2286,485,-1725,-207
001193,001,3764,992,1139,290,-147,-39
001194,001,17844,1158,5444,1197,-4286,-240
001195,001,3288,407,980,184,-573,-174
001196,001,1224,136,356,78,-220,-180
001197,001,10165,3250,2653,1092,597,59
001198,001,935,52,245,39,-193,-206
001199,001,3017,311,701,274,-390,-129
001200,001,1113,174,349,35,-175,-157
001201,001,694,86,115,97,-29,-42
001202,001,251,25,29,48,-4,-16
001203,001,1872,176,517,173,-341,-182
001204,001,211,0,58,4,-58,-275
001205,001,1238,33,388,36,-355,-287
001206,001,686,102,226,29,-124,-181
001207,001,444,16,117,19,-101,-227
001208,001,333,56,108,8,-52,-156
001209,001,329,43,111,12,-68,-207
001210,001,991,131,248,74,-117,-118
001211,001,1779,262,572,71,-310,-174
001212,001,43,1,7,2,-6,-140
001213,001,1135,87,347,49,-260,-229
001214,001,20019,7879,6468,1218,1411,70
001215,001,4756,636,1544,290,-908,-191
001216,001,2421,562,673,188,-111,-46
001217,001,12303,2548,2990,1396,-442,-36
001218,001,1550,136,487,67,-351,-226
001219,001,46551,13754,11559,4786,2195,47
001220,001,3056,1872,911,202,961,314
001221,001,1727,148,469,113,-321,-186
001222,001,1965,729,611,118,118,60
001223,001,2711,350,884,124,-534,-197
001224,001,383,8,44,22,-36,-94
001225,001,1927,477,531,111,-54,-28
001226,001,216,9,61,14,-52,-241
001227,001,740,33,166,48,-133,-180
001228,001,5074,1396,1561,287,-165,-33
001229,001,2591,64,754,108,-690,-266
001230,001,788,14,204,43,-190,-241
001231,001,1850,481,600,83,-119,-64
001232,001,635,109,124,64,-15,-24
001233,001,471,98,152,12,-54,-115
001234,001,65,7,10,7,-3,-46
001235,001,1538,94,509,64,-415,-270
001236,001,6050,1132,1886,332,-754,-125
001237,001,4029,656,1305,212,-649,-161
001238,001,359,59,129,12,-70,-195
001239,001,493,141,167,18,-26,-53
001240,001,4805,370,1576,267,-1206,-251
001241,001,3624,217,1050,164,-833,-230
001242,001,1689,139,490,76,-351,-208
001243,001,3311,829,1098,154,-269,-81
001244,001,2484,1034,676,230,358,144
001245,001,951,94,265,34,-171,-180
001246,001,3309,409,864,193,-455,-138
001247,001,798,23,243,31,-220,-276
001248,001,10252,1908,3418,699,-1510,-147
001249,001,18267,4168,5551,1158,-1383,-76
001250,001,1437,39,451,55,-412,-287
001251,001,230,169,85,11,84,365
001252,001,3128,314,943,188,-629,-201
001253,001,1853,145,572,79,-427,-230
001254,001,3638,774,1020,244,-246,-68
001255,001,4501,997,1324,265,-327,-73
001256,001,4073,688,1113,281,-425,-104
001257,001,10373,2273,2829,972,-556,-54
001258,001,227,17,47,18,-30,-132
001259,001,1018,162,136,182,26,26
001260,001,3199,690,948,228,-258,-81
001261,001,785,398,215,39,183,233
001262,001,1424,62,415,79,-353,-248
001263,001,893,213,96,259,117,131
001264,001,469,99,122,26,-23,-49
001265,001,45566,12037,11597,5236,440,10
001266,001,1507,409,359,127,50,33
001267,001,903,204,216,83,-12,-13
001268,001,236,1,75,6,-74,-314
001269,001,6018,1081,1660,561,-579,-96
001270,001,5776,1291,1028,869,263,46
001271,001,747,28,228,28,-200,-268
001272,001,855654,138605,71297,212249,67308,79
001273,001,2997,3049,977,138,2072,691
001274,001,597,344,183,20,161,270
001275,001,4585,568,1018,353,-450,-98
001276,001,3744,448,1154,218,-706,-189
001278,001,309,8,70,20,-62,-201
001279,001,505,4,126,23,-122,-242
001280,001,10501,2682,3107,698,-425,-40
001281,001,177,16,24,15,-8,-45
001282,001,179,15,28,29,-13,-73
001283,001,1317,257,425,64,-168,-128
001284,001,3973,882,1246,212,-364,-92
001285,001,983,10,299,28,-289,-294
001286,001,784,131,249,26,-118,-151
001287,001,2977,1388,750,277,638,214
001288,001,88,6,19,6,-13,-148
001289,001,828,64,264,30,-200,-242
001290,001,1417,341,450,68,-109,-77
001291,001,843,80,238,36,-158,-187
001292,001,31886,7822,9049,2435,-1227,-38
001293,001,4788,401,1457,234,-1056,-221
001294,001,1353,80,364,64,-284,-210
001295,001,752,84,214,39,-130,-173
001296,001,258,108,78,12,30,116
001298,001,450,66,122,41,-56,-124
001299,001,5046,543,1244,566,-701,-139
001300,001,4585,525,1063,551,-538,-117
001301,001,1199,407,367,66,40,33
001302,001,3521,734,1034,190,-300,-85
001303,001,2793,350,906,122,-556,-199
001304,001,994,180,260,50,-80,-80
001305,001,1943,85,561,100,-476,-245
001306,001,1052,68,270,83,-202,-192
001307,001,3892,1395,904,464,491,126
001308,001,4286,1208,1286,322,-78,-18
001309,001,15290,2175,4613,985,-2438,-159
001310,001,1188,266,322,78,-56,-47
001311,001,1206,79,286,98,-207,-172
001312,001,526,84,151,19,-67,-127
001313,001,1075,43,175,114,-132,-123
001314,001,15060,5332,4089,1559,1243,83
001315,001,8417,1617,2758,526,-1141,-136
001316,001,7280,2201,2514,346,-313,-43
001317,001,1225,75,337,47,-262,-214
001318,001,1012,55,214,98,-159,-157
002002,002,731,111,62,124,49,67
002003,002,327,28,67,12,-39,-119
002004,002,2479,286,651,185,-365,-147
002006,002,836,220,166,110,54,65
002007,002,1387,167,446,81,-279,-201
002008,002,115,5,35,4,-30,-261
002009,002,210,220,58,21,162,771
002011,002,1869,622,376,267,246,132
002014,002,167,22,34,8,-12,-72
002015,002,2198,230,535,234,-305,-139
002016,002,11951,3566,2110,2254,1456,122
002017,002,2231,609,685,139,-76,-34
002021,002,862,99,233,66,-134,-155
002025,002,226,43,34,16,9,40
002029,002,78,0,11,3,-11,-141
002030,002,995,66,273,59,-207,-208
002031,002,1110,1209,348,50,861,776
002032,002,744,684,172,93,512,688
002033,002,220,12,69,9,-57,-259
002035,002,263,4,70,17,-66,-251
002041,002,47,0,16,2,-16,-340
002042,002,4300,676,1095,411,-419,-97
002043,002,223,19,68,10,-49,-220
002045,002,68,31,23,8,8,118
002047,002,815,56,208,21,-152,-187
002048,002,240,13,74,8,-61,-254
002049,002,7503,1025,1659,997,-634,-84
002052,002,347,156,90,18,66,190
002054,002,1097,82,322,54,-240,-219
002057,002,185,10,35,21,-25,-135
