codice_comune,COD_PROV,anno,popolazione
001001,001,2025,2585
001001,001,2026,2584
001002,001,2025,3695
001002,001,2026,3698
001003,001,2025,463
001003,001,2026,468
001004,001,2025,1624
001004,001,2026,1633
001006,001,2025,6297
001006,001,2026,6231
001007,001,2025,248
001007,001,2026,235
001008,001,2025,16494
001008,001,2026,16513
001009,001,2025,1995
001009,001,2026,1979
001010,001,2025,466
001010,001,2026,468
001011,001,2025,804
001011,001,2026,794
001012,001,2025,1068
001012,001,2026,1076
001013,001,2025,12139
001013,001,2026,12035
001014,001,2025,1242
001014,001,2026,1224
001015,001,2025,787
001015,001,2026,778
001016,001,2025,3049
001016,001,2026,3095
001017,001,2025,482
001017,001,2026,493
001018,001,2025,3734
001018,001,2026,3692
001019,001,2025,99
001019,001,2026,97
001020,001,2025,3112
001020,001,2026,3097
001021,001,2025,1552
001021,001,2026,1563
001022,001,2025,2871
001022,001,2026,2853
001023,001,2025,531
001023,001,2026,525
001024,001,2025,17351
001024,001,2026,17272
001025,001,2025,3364
001025,001,2026,3362
001026,001,2025,523
001026,001,2026,527
001027,001,2025,2115
001027,001,2026,2099
001028,001,2025,11642
001028,001,2026,11523
001029,001,2025,577
001029,001,2026,587
001030,001,2025,3457
001030,001,2026,3424
001031,001,2025,763
001031,001,2026,770
001032,001,2025,2236
001032,001,2026,2250
001033,001,2025,3075
001033,001,2026,3044
001034,001,2025,8738
001034,001,2026,8772
001035,001,2025,4600
001035,001,2026,4611
001036,001,2025,390
001036,001,2026,387
001037,001,2025,434
001037,001,2026,423
001038,001,2025,8388
001038,001,2026,8364
001039,001,2025,1493
001039,001,2026,1495
001040,001,2025,1478
001040,001,2026,1513
001041,001,2025,1299
001041,001,2026,1289
001042,001,2025,1105
001042,001,2026,1095
001043,001,2025,1608
001043,001,2026,1578
001044,001,2025,5755
001044,001,2026,5766
001045,001,2025,6221
001045,001,2026,6222
001046,001,2025,3359
001046,001,2026,3388
001047,001,2025,7309
001047,001,2026,7338
001048,001,2025,5837
001048,001,2026,5884
001049,001,2025,1292
001049,001,2026,1297
001050,001,2025,1157
001050,001,2026,1143
001051,001,2025,5559
001051,001,2026,5563
001052,001,2025,266
001052,001,2026,269
001053,001,2025,2572
001053,001,2026,2581
001054,001,2025,644
001054,001,2026,645
001055,001,2025,2010
001055,001,2026,2014
001056,001,2025,885
001056,001,2026,891
001057,001,2025,711
001057,001,2026,697
001058,001,2025,9232
001058,001,2026,9250
001059,001,2025,28084
001059,001,2026,27971
001060,001,2025,1876
001060,001,2026,1865
001061,001,2025,1499
001061,001,2026,1503
001062,001,2025,3036
001062,001,2026,3024
001063,001,2025,13738
001063,001,2026,13738
001064,001,2025,1754
001064,001,2026,1748
001065,001,2025,2191
001065,001,2026,2168
001066,001,2025,9826
001066,001,2026,9839
001067,001,2025,407
001067,001,2026,417
001068,001,2025,6504
001068,001,2026,6519
001069,001,2025,2328
001069,001,2026,2357
001070,001,2025,5384
001070,001,2026,5373
001071,001,2025,1777
001071,001,2026,1760
001072,001,2025,984
001072,001,2026,957
001073,001,2025,149
001073,001,2026,139
001074,001,2025,874
001074,001,2026,887
001075,001,2025,328
001075,001,2026,336
001076,001,2025,1499
001076,001,2026,1494
001077,001,2025,1974
001077,001,2026,1958
001078,001,2025,35819
001078,001,2026,35822
001079,001,2025,229
001079,001,2026,229
001080,001,2025,850
001080,001,2026,838
001081,001,2025,1514
001081,001,2026,1524
001082,001,2025,26058
001082,001,2026,26038
001083,001,2025,365
001083,001,2026,358
001084,001,2025,232
001084,001,2026,225
001085,001,2025,338
001085,001,2026,340
001086,001,2025,18065
001086,001,2026,18083
001087,001,2025,190
001087,001,2026,199
001088,001,2025,1476
001088,001,2026,1460
001089,001,2025,3350
001089,001,2026,3371
001090,001,2025,47814
001090,001,2026,47590
001091,001,2025,324
001091,001,2026,354
001092,001,2025,588
001092,001,2026,576
001093,001,2025,4436
001093,001,2026,4422
001094,001,2025,3089
001094,001,2026,3106
001095,001,2025,411
001095,001,2026,410
001096,001,2025,923
001096,001,2026,917
001097,001,2025,7793
001097,001,2026,7814
001098,001,2025,9495
001098,001,2026,9483
001099,001,2025,8986
001099,001,2026,8942
001100,001,2025,245
001100,001,2026,241
001101,001,2025,4982
001101,001,2026,4962
001102,001,2025,2145
001102,001,2026,2151
001103,001,2025,471
001103,001,2026,466
001104,001,2025,2626
001104,001,2026,2638
001105,001,2025,738
001105,001,2026,725
001106,001,2025,2256
001106,001,2026,2278
001107,001,2025,3166
001107,001,2026,3152
001108,001,2025,272
001108,001,2026,272
001109,001,2025,1582
001109,001,2026,1590
001110,001,2025,2829
001110,001,2026,2846
001111,001,2025,555
001111,001,2026,564
001112,001,2025,9186
001112,001,2026,9208
001113,001,2025,1114
001113,001,2026,1131
001114,001,2025,595
001114,001,2026,585
001115,001,2025,16295
001115,001,2026,16361
001116,001,2025,4077
001116,001,2026,4060
001117,001,2025,681
001117,001,2026,684
001118,001,2025,196
001118,001,2026,183
001119,001,2025,993
001119,001,2026,1004
001120,001,2025,36505
001120,001,2026,36410
001121,001,2025,44
001121,001,2026,44
001122,001,2025,681
001122,001,2026,677
001123,001,2025,351
001123,001,2026,355
001124,001,2025,429
001124,001,2026,434
001125,001,2025,22532
001125,001,2026,22544
001126,001,2025,1759
001126,001,2026,1719
001127,001,2025,8702
001127,001,2026,8673
001128,001,2025,4995
001128,001,2026,5038
001129,001,2025,1404
001129,001,2026,1356
001130,001,2025,16232
001130,001,2026,16339
001131,001,2025,158
001131,001,2026,153
001132,001,2025,1747
001132,001,2026,1748
001133,001,2025,460
001133,001,2026,476
001134,001,2025,1288
001134,001,2026,1280
001135,001,2025,1729
001135,001,2026,1735
001136,001,2025,1057
001136,001,2026,1090
001137,001,2025,1213
001137,001,2026,1204
001139,001,2025,7148
001139,001,2026,7118
001140,001,2025,494
001140,001,2026,505
001141,001,2025,554
001141,001,2026,554
001142,001,2025,1178
001142,001,2026,1180
001143,001,2025,415
001143,001,2026,409
001144,001,2025,1263
001144,001,2026,1269
001145,001,2025,55
001145,001,2026,56
001146,001,2025,3729
001146,001,2026,3674
001147,001,2025,690
001147,001,2026,679
001148,001,2025,4307
001148,001,2026,4298
001149,001,2025,794
001149,001,2026,787
001150,001,2025,1334
001150,001,2026,1355
001152,001,2025,734
001152,001,2026,735
001153,001,2025,399
001153,001,2026,399
001154,001,2025,609
001154,001,2026,612
001155,001,2025,332
001155,001,2026,403
001156,001,2025,55439
001156,001,2026,55442
001157,001,2025,48
001157,001,2026,44
001158,001,2025,714
001158,001,2026,709
001159,001,2025,958
001159,001,2026,966
001160,001,2025,3296
001160,001,2026,3307
001161,001,2025,5024
001161,001,2026,4974
001162,001,2025,839
001162,001,2026,824
001163,001,2025,832
001163,001,2026,823
001164,001,2025,45830
001164,001,2026,45680
001165,001,2025,99
001165,001,2026,97
001166,001,2025,6634
001166,001,2026,6660
001167,001,2025,271
001167,001,2026,275
001168,001,2025,7662
001168,001,2026,7641
001169,001,2025,518
001169,001,2026,525
001170,001,2025,1428
001170,001,2026,1419
001171,001,2025,22811
001171,001,2026,22779
001172,001,2025,732
001172,001,2026,730
001173,001,2025,1158
001173,001,2026,1161
001174,001,2025,899
001174,001,2026,896
