codice_comune,pop_0_14,pop_15_64,pop_65_plus,pop_male,pop_female
001001,283,1579,722,1259,1325
001002,438,2312,948,1873,1825
001003,47,296,125,240,228
001004,166,989,478,791,842
001006,685,3848,1698,3034,3197
001007,18,130,87,125,110
001008,1666,9917,4930,8238,8275
001009,241,1226,512,995,984
001010,36,285,147,252,216
001011,69,519,206,421,373
001012,109,688,279,559,517
001013,1267,7485,3283,5896,6139
001014,130,741,353,603,621
001015,91,453,234,366,412
001016,316,1850,929,1493,1602
001017,55,271,167,241,252
001018,384,2277,1031,1801,1891
001019,9,61,27,51,46
001020,314,1901,882,1494,1603
001021,153,947,463,787,776
001022,272,1809,772,1435,1418
001023,48,306,171,264,261
001024,1832,10425,5015,8334,8938
001025,399,2117,846,1761,1601
001026,44,319,164,257,270
001027,228,1268,603,1057,1042
001028,1390,7079,3054,5586,5937
001029,76,354,157,301,286
001030,345,2091,988,1644,1780
001031,78,467,225,374,396
001032,239,1377,634,1150,1100
001033,389,1829,826,1499,1545
001034,1125,5500,2147,4274,4498
001035,543,2889,1179,2303,2308
001036,34,234,119,189,198
001037,40,267,116,214,209
001038,944,5290,2130,4097,4267
001039,144,906,445,754,741
001040,185,941,387,751,762
001041,170,774,345,635,654
001042,100,595,400,520,575
001043,204,993,381,807,771
001044,561,3409,1796,2811,2955
001045,720,3766,1736,3074,3148
001046,360,2088,940,1688,1700
001047,799,4430,2109,3563,3775
001048,638,3546,1700,2848,3036
001049,153,789,355,639,658
001050,94,685,364,544,599
001051,697,3443,1423,2779,2784
001052,20,159,90,136,133
001053,267,1596,718,1268,1313
001054,73,378,194,356,289
001055,207,1244,563,1020,994
001056,69,563,259,435,456
001057,79,397,221,344,353
001058,1077,5764,2409,4600,4650
001059,3465,17635,6871,13749,14222
001060,183,1132,550,902,963
001061,181,908,414,716,787
001062,344,1906,774,1513,1511
001063,1679,8830,3229,6806,6932
001064,174,1084,490,895,853
001065,252,1368,548,1104,1064
001066,1157,6102,2580,4897,4942
001067,29,247,141,221,196
001068,789,4142,1588,3236,3283
001069,272,1435,650,1171,1186
001070,629,3292,1452,2688,2685
001071,194,1052,514,861,899
